"Status","Progress","durationSec","Finished","ResponseId","introquestion","age","pushnotifications","readarticles","topicsinterested","distressed_EUPolitics","distressed_crimes","distressed_israelPalestine","distressed_immigration","distressed_sports","distressed_war","distressed_climateChange","distressed_showArts","distressed_covid","distressed_britishBrexit","distressed_instAbuse","distressed_spaceTravel","distressed_protest","distressed_terrorism","distressed_USPolitics","distressed_naturalDisasters","distressed_elections","distressed_economy","guard_suicide","guard_accidents","guard_physicalAbuse","guard_sexualAbuse","guard_selfHarm","guard_depression","guard_racism","guard_LGBTQ","guard_eatingDisorders","guard_disability","guard_animalCruelty","guard_other1","guard_other1_text","guard_other2","guard_other2_text","guard_other3","guard_other3_text","additional"
"IP Address",100,318,TRUE,"R_27QDRRgbM9qonhL","Yes, continue the survey",26,"Never","Every day","Crimes,Sports,Show business & Arts",NA,76,NA,76,100,55,73,100,35,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,101,TRUE,"R_2rNHNJfoFbyk30h","Yes, continue the survey",28,"2-3 times per week","2-3 times per week","Crimes,Natural disasters",NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Na"
"IP Address",100,109,TRUE,"R_3CGXhbIt8XwvHTd","Yes, continue the survey",18,"Never","Never","Crimes,COVID-19,Terrorism,US politics,Elections",NA,52,100,NA,NA,NA,NA,NA,49,NA,NA,NA,52,100,16,100,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,115,TRUE,"R_1M4HjaLibCfx93a","Yes, continue the survey",29,"Every day","2-3 times per week","Crimes,Show business & Arts,Protests,Elections,Economy",NA,100,NA,NA,17,0,NA,18,NA,NA,NA,NA,NA,89,NA,NA,62,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at the moment"
"IP Address",100,317,TRUE,"R_1CeEmbFnndJCcjN","Yes, continue the survey",25,"Never","Once per week","Crimes,Sports,Climate change,Show business & Arts,Institutional abuse,Protests,Terrorism,US politics,Natural disasters,Elections",NA,100,41,47,NA,8,100,NA,100,NA,100,NA,100,100,100,100,NA,NA,80,47,56,94,66,NA,57,56,NA,NA,67,NA,NA,NA,NA,NA,NA,"N/A"
"IP Address",100,168,TRUE,"R_1Hk51NqiGWXcF0g","Yes, continue the survey",26,"Multiple times per day","2-3 times per week","Sports,Show business & Arts,Protests,Terrorism,Economy",NA,NA,NA,NA,50,0,NA,53,NA,NA,NA,NA,0,NA,0,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,244,TRUE,"R_3CK58hHM3slxGMF","Yes, continue the survey",24,"Multiple times per day","2-3 times per week","Climate change,Show business & Arts,US politics",39,52,31,35,18,50,64,44,25,51,21,8,13,39,18,72,9,35,86,45,58,48,47,47,21,55,32,13,29,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,99,TRUE,"R_2VfFcPNe9plCoJW","Yes, continue the survey",24,"Multiple times per day","Every day","Crimes,Immigration,Climate change,COVID-19,Economy",26,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,72,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,343,TRUE,"R_2tkVt3J7HilRgqg","Yes, continue the survey",23,"Never","Never","Israeli-Palestinian conflict,Sports,US politics,Natural disasters",NA,NA,72,NA,0,NA,0,NA,NA,NA,NA,NA,NA,35,0,NA,NA,NA,100,NA,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abuse of minors"
"IP Address",100,195,TRUE,"R_QhKUXcWk12Ia3RL","Yes, continue the survey",26,"Multiple times per day","Every day","EU politics,Crimes,Israeli-Palestinian conflict,Immigration,(Ukrainian) War,Climate change,Show business & Arts,Britsh politics / Brexit,Institutional abuse,Protests,Terrorism,US politics,Elections,Economy",59,59,80,44,20,75,81,35,21,39,66,19,66,84,44,58,37,62,6,13,13,15,17,14,9,11,10,20,16,NA,NA,NA,NA,NA,NA,"Intimidation"
"IP Address",100,217,TRUE,"R_2q1RIlzKWYYiYUg","Yes, continue the survey",25,"Never","2-3 times per week","EU politics,Israeli-Palestinian conflict,Immigration,Climate change,Institutional abuse,Protests,Natural disasters,Elections",100,50,100,100,NA,79,100,NA,51,NA,87,38,77,NA,58,100,38,100,19,21,19,22,24,24,22,19,22,0,23,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,438,TRUE,"R_3g6jynzfpAhoExK","Yes, continue the survey",28,"Every day","2-3 times per week","EU politics,Show business & Arts,Economy",75,34,23,67,3,83,92,4,67,42,74,4,54,95,41,93,39,68,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,193,TRUE,"R_4JjxAodB1pGAY1P","Yes, continue the survey",25,"Never","Every day","Crimes,Protests,Economy",46,NA,22,26,28,57,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,125,TRUE,"R_11XDJWx2cCEhOrk","Yes, continue the survey",25,"Every day","Once per week","Crimes,Sports,Institutional abuse,US politics,Natural disasters",100,51,100,79,16,18,100,8,6,9,100,8,14,35,100,62,16,20,48,49,85,100,100,100,100,100,7,10,100,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,182,TRUE,"R_1LjOdcvHO3WB0Ft","Yes, continue the survey",25,"Multiple times per day","Multiple times per day","Crimes",61,70,92,82,NA,100,100,0,NA,NA,50,NA,18,100,NA,100,20,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"animal abuse"
"IP Address",100,363,TRUE,"R_3ly6fDlC5mBO52h","Yes, continue the survey",26,"Never","2-3 times per week","EU politics,(Ukrainian) War,Climate change,Britsh politics / Brexit,Space-travel,US politics,Natural disasters,Elections",29,66,64,27,0,81,93,0,48,62,65,27,45,74,46,75,35,31,3,2,4,7,4,0,0,0,48,0,1,NA,NA,0,NA,NA,NA,"accidents/ disasters that are close to or in spaces I know"
"IP Address",100,128,TRUE,"R_307A8QngsycVFlI","Yes, continue the survey",24,"Never","Every day","Crimes,(Ukrainian) War,Climate change,Terrorism",31,44,78,78,7,73,78,55,71,18,81,19,35,67,78,59,53,18,35,14,38,38,72,35,11,14,64,18,53,NA,NA,NA,NA,NA,NA,"Poverty"
"IP Address",100,265,TRUE,"R_2uDPNKa8kgZ3yy1","Yes, continue the survey",24,"Every day","Once per week","Immigration,Show business & Arts,Space-travel,Natural disasters",28,43,51,51,8,64,88,29,15,1,6,55,60,68,15,55,28,75,57,5,48,73,90,69,7,21,50,7,17,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,114,TRUE,"R_1jHEOoU0VaDcvvJ","Yes, continue the survey",24,"Multiple times per day","Multiple times per day","(Ukrainian) War,Terrorism,Natural disasters,Economy",0,NA,NA,0,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,156,TRUE,"R_0ptK9v8TtQulPlD","Yes, continue the survey",24,"Never","Once per week","Climate change,Protests,Natural disasters",56,63,77,69,18,89,82,9,75,41,52,26,62,70,62,72,31,36,50,51,50,85,51,52,51,51,51,52,52,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,2599,TRUE,"R_pQr4ATdPB4QoFpf","Yes, continue the survey",23,"Multiple times per day","Every day","EU politics,Israeli-Palestinian conflict,Immigration,(Ukrainian) War,Climate change,Show business & Arts,COVID-19,Britsh politics / Brexit,Space-travel,Protests,Terrorism,US politics,Natural disasters,Elections,Economy",16,36,32,52,0,46,58,5,47,0,16,0,28,43,6,48,21,28,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
"IP Address",100,374,TRUE,"R_2CU28goHgmXEAC5","Yes, continue the survey",25,"Never","Every day","EU politics,Israeli-Palestinian conflict,(Ukrainian) War,Climate change,Show business & Arts,Institutional abuse,Protests,Natural disasters,Elections",57,93,56,93,37,94,94,75,67,59,81,34,96,81,83,92,90,59,40,77,60,67,40,41,20,21,21,22,91,90,"Explicit medical content",NA,NA,NA,NA,"Murder, child abuse, Abuse against women"
"IP Address",100,214,TRUE,"R_32MfAu3mjNwvB2F","Yes, continue the survey",26,"Multiple times per day","Every day","EU politics,Crimes,(Ukrainian) War,Space-travel,Terrorism,US politics,Economy",NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,29,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,194,TRUE,"R_1GPrCMxg2N4IC2O","Yes, continue the survey",20,"Never","Once per week","EU politics,Sports,Climate change,Space-travel",NA,42,5,5,NA,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,465,TRUE,"R_1ff2ZbqC61kmvKn","Yes, continue the survey",27,"Never","2-3 times per week","EU politics,Show business & Arts,COVID-19,Britsh politics / Brexit,Institutional abuse,Protests",67,80,68,NA,0,40,91,NA,27,86,77,NA,60,86,79,51,63,73,100,68,92,100,100,64,54,0,73,NA,NA,NA,NA,NA,NA,NA,NA,"Children and abuse"
"IP Address",100,216,TRUE,"R_2PaI1bdOVNgSez9","Yes, continue the survey",25,"Every day","2-3 times per week","Crimes,Sports,Climate change,Space-travel,Terrorism,US politics,Economy",100,51,56,57,0,57,43,0,41,51,51,0,22,66,67,48,42,45,52,0,51,54,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA
"IP Address",100,260,TRUE,"R_1DHDtrQbv105nBr","Yes, continue the survey",22,"Every day","Never","Natural disasters",NA,84,NA,NA,0,NA,54,NA,NA,0,0,NA,NA,NA,NA,23,NA,NA,29,57,67,52,83,58,54,52,57,61,63,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,496,TRUE,"R_3KDRqmw5xOAL5jJ","Yes, continue the survey",25,"Never","2-3 times per week","Crimes,Sports,(Ukrainian) War,Climate change,Show business & Arts,Protests,Terrorism,Natural disasters,Economy",26,40,0,0,0,NA,98,NA,NA,NA,15,0,33,56,0,56,0,57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"No"
"IP Address",100,276,TRUE,"R_1eqpyHC2QzAmjXH","Yes, continue the survey",27,"2-3 times per week","Once per week","EU politics,Sports,Economy",NA,100,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,100,NA,100,NA,NA,100,53,83,84,100,100,100,100,19,45,100,NA,NA,NA,NA,NA,NA,"Lgbt pushing their agenda everywhere"
"IP Address",100,113,TRUE,"R_2cpILSQBUPjJn28","Yes, continue the survey",28,"Never","2-3 times per week","EU politics,Climate change,Space-travel,Protests,Natural disasters,Elections",89,52,100,100,NA,100,100,NA,51,58,64,0,85,98,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,503,TRUE,"R_Ubvzsob5BH0lkLn","Yes, continue the survey",25,"Never","2-3 times per week","Crimes,(Ukrainian) War,Climate change,Space-travel,Terrorism,Natural disasters",29,57,75,47,0,85,84,NA,16,NA,31,8,NA,49,NA,78,NA,61,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"IP Address",100,160,TRUE,"R_2zHlUvlpOc8f18X","Yes, continue the survey",22,"2-3 times per week","Once per week","Crimes,Economy",51,47,67,51,16,41,68,3,39,10,67,58,61,62,4,42,41,58,44,10,49,50,70,66,26,26,28,22,21,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,328,TRUE,"R_1dm3nNKJOIHWyJj","Yes, continue the survey",24,"Multiple times per day","2-3 times per week","EU politics,Crimes,Climate change,Space-travel,US politics,Natural disasters",25,52,73,73,0,61,65,NA,88,NA,42,NA,18,91,43,81,24,30,71,20,38,77,78,9,27,25,17,9,75,NA,NA,NA,NA,NA,NA,"News topics that are sexsualizing both men or woman. News topics that are bias to one side and spreading miss information."
"IP Address",100,221,TRUE,"R_2cBD6C4Uxn01n6b","Yes, continue the survey",23,"Never","2-3 times per week","Institutional abuse",83,17,100,100,NA,81,100,12,60,13,100,0,100,100,100,78,50,36,70,46,56,100,70,16,80,78,100,39,100,NA,NA,NA,NA,NA,NA,"Children related topics"
"IP Address",100,296,TRUE,"R_1hL71LKqCcbWteV","Yes, continue the survey",28,"Every day","Once per week","Crimes,Climate change,Protests,Natural disasters,Economy",0,66,NA,23,6,60,73,0,19,NA,38,NA,33,59,NA,83,NA,46,59,53,54,53,55,30,30,43,41,22,23,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,95,TRUE,"R_268UBSo0eK3NRgU","Yes, continue the survey",25,"Multiple times per day","Never","Israeli-Palestinian conflict,Immigration,Climate change,COVID-19,Protests,US politics",NA,NA,67,NA,0,NA,NA,0,30,NA,NA,NA,58,33,60,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,635,TRUE,"R_2zLViJUbfiEtHpY","Yes, continue the survey",23,"Every day","Multiple times per day","EU politics,Israeli-Palestinian conflict,Immigration,Climate change,COVID-19,Institutional abuse,Protests,US politics,Natural disasters,Elections",27,42,53,63,4,55,59,0,28,31,61,0,66,74,38,79,42,25,21,0,21,25,21,2,0,0,3,3,5,14,"Natural disasters/climate catastrophe",NA,NA,NA,NA,NA
"IP Address",100,224,TRUE,"R_1kMTeQrixkyoUey","Yes, continue the survey",21,"Never","Once per week","Crimes,Climate change,Space-travel,Natural disasters",14,13,NA,NA,NA,11,26,NA,NA,NA,5,NA,NA,12,NA,9,NA,NA,46,NA,82,82,70,NA,13,NA,68,NA,68,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,314,TRUE,"R_290x29RCc75hAEI","Yes, continue the survey",22,"2-3 times per week","Multiple times per day","EU politics,Sports,(Ukrainian) War,COVID-19,Britsh politics / Brexit,US politics,Elections,Economy",32,74,12,58,NA,75,62,0,86,60,25,0,70,77,56,35,66,48,71,40,42,46,42,30,16,13,26,18,59,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,410,TRUE,"R_80riliIJEvq35Ch","Yes, continue the survey",19,"Never","Once per week","Climate change,Space-travel,Elections",41,25,4,29,5,64,100,5,85,42,20,4,41,27,62,71,67,36,40,71,9,9,100,27,10,11,87,13,56,0,NA,NA,NA,NA,NA,NA
"IP Address",100,454,TRUE,"R_1exbo6xA65pS4on","Yes, continue the survey",27,"Multiple times per day","Multiple times per day","EU politics,Crimes,(Ukrainian) War,Climate change,Britsh politics / Brexit,Space-travel,Protests,Terrorism,US politics,Natural disasters,Elections,Economy",NA,NA,NA,NA,NA,22,49,NA,47,21,NA,NA,NA,46,48,50,46,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Even if I am distressed by a news article I would not want to be ""guarded"" from it."
"IP Address",100,101,TRUE,"R_1igoiLR37zEpknc","Yes, continue the survey",24,"Every day","Multiple times per day","EU politics,Sports,(Ukrainian) War,Climate change,US politics,Economy",NA,NA,NA,NA,19,0,7,NA,NA,NA,NA,NA,NA,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"IP Address",100,186,TRUE,"R_2By8vJlwcEdZG6L","Yes, continue the survey",22,"Never","Multiple times per day","EU politics,Israeli-Palestinian conflict,Immigration,(Ukrainian) War,Climate change,Institutional abuse,Protests,Economy",NA,NA,NA,NA,NA,57,92,NA,64,NA,59,NA,0,15,NA,41,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,127,TRUE,"R_1FaDXf8oeIb1lhp","Yes, continue the survey",23,"Multiple times per day","2-3 times per week","Crimes,Immigration,Sports,(Ukrainian) War,Climate change,Show business & Arts,COVID-19,Institutional abuse,Space-travel,Natural disasters,Economy",21,100,100,100,7,100,90,NA,100,57,100,24,60,100,41,100,41,62,0,3,0,5,7,14,14,11,0,55,35,NA,NA,3,NA,NA,NA,"Cheating/abusive relationships"
"IP Address",100,246,TRUE,"R_325v3Vv5hVIefyu","Yes, continue the survey",21,"Never","Once per week","Institutional abuse,Natural disasters,Elections",55,NA,34,NA,NA,47,73,0,25,NA,80,NA,33,NA,35,67,15,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,209,TRUE,"R_SHI7L5LYalUOSk1","Yes, continue the survey",27,"Every day","Every day","EU politics,Sports,(Ukrainian) War,Climate change,Show business & Arts",60,65,69,65,NA,72,74,NA,51,0,70,NA,72,76,52,76,53,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,224,TRUE,"R_T0EqP1HR4DFciuB","Yes, continue the survey",24,"Every day","Once per week","Crimes,Immigration,Sports",NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wars in countries outside EU. I feel like they concentrate on wars within EU and forget others"
"IP Address",100,83,TRUE,"R_1gd3SrI5NIPBOBJ","Yes, continue the survey",22,"Never","Never","Space-travel",44,31,NA,NA,0,59,94,NA,NA,NA,40,NA,12,34,15,10,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nope"
"IP Address",100,637,TRUE,"R_1nP0hgMwiLAYpbS","Yes, continue the survey",27,"Multiple times per day","Once per week","Crimes,Show business & Arts,Institutional abuse,Protests,Natural disasters",54,72,65,62,5,34,55,38,60,12,83,9,76,68,15,75,20,69,7,10,8,8,8,11,12,11,12,12,12,NA,NA,NA,NA,NA,NA,"Can’t think of any, sorry."
"IP Address",100,199,TRUE,"R_12ojtePg9sFu9Vr","Yes, continue the survey",25,"2-3 times per week","Multiple times per day","EU politics,Crimes,Israeli-Palestinian conflict,Immigration,(Ukrainian) War,Climate change,Show business & Arts,COVID-19,Britsh politics / Brexit,Institutional abuse,Space-travel,Protests,Terrorism,US politics,Natural disasters,Elections,Economy",49,74,75,75,0,76,50,0,79,27,70,77,70,70,51,69,21,73,NA,0,NA,0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,433,TRUE,"R_27pQIS0iVjG61qw","Yes, continue the survey",30,"Every day","2-3 times per week","Sports,Show business & Arts,COVID-19,US politics",NA,NA,NA,NA,17,75,NA,0,100,NA,0,NA,NA,100,29,81,NA,NA,0,100,0,46,44,0,NA,79,0,0,0,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,293,TRUE,"R_3I4XTmkO6XgALgj","Yes, continue the survey",27,"Never","Multiple times per day","EU politics,(Ukrainian) War,Climate change,Institutional abuse,Space-travel,Protests,US politics,Elections",13,0,0,58,0,48,100,0,78,8,50,0,51,89,44,33,74,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,539,TRUE,"R_3nufRbpYM5tWHwJ","Yes, continue the survey",20,"Never","Never","Elections,Economy",10,39,NA,NA,NA,35,62,NA,84,21,NA,NA,93,NA,25,34,23,67,1,1,41,0,0,0,0,0,0,0,0,100,"Pornography or other other sexually arousing news",NA,NA,NA,NA,NA
"IP Address",100,91,TRUE,"R_1IZAsebU9GWaQC0","Yes, continue the survey",18,"Never","Once per week","Crimes,Climate change,Protests,Natural disasters,Economy",NA,79,NA,NA,NA,NA,56,NA,23,NA,NA,NA,NA,68,NA,33,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,163,TRUE,"R_6A950BlPNiLtrmV","Yes, continue the survey",26,"Never","Every day","EU politics,Sports,Climate change,COVID-19,Space-travel,Natural disasters,Elections",14,72,19,9,9,79,84,14,60,22,54,8,17,52,80,61,41,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,128,TRUE,"R_1gjzWBgagguzaOa","Yes, continue the survey",23,"Multiple times per day","2-3 times per week","Crimes,Sports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"IP Address",100,178,TRUE,"R_3G2PcQe4JqDOCvc","Yes, continue the survey",28,"Every day","2-3 times per week","Crimes,Sports,(Ukrainian) War,Natural disasters,Elections",66,92,5,13,72,41,50,79,18,4,44,91,38,54,94,82,58,33,11,59,10,7,9,12,14,62,16,42,10,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,122,TRUE,"R_234Bxgd8urR6zMd","Yes, continue the survey",25,"Never","Once per week","Crimes,(Ukrainian) War,COVID-19,Terrorism",NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,57,NA,NA,NA,NA,81,24,4,20,74,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,194,TRUE,"R_sdP104cUEfdqKI1","Yes, continue the survey",26,"Never","2-3 times per week","Crimes,US politics,Economy",100,100,NA,50,1,100,100,NA,NA,NA,100,NA,NA,100,100,100,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,198,TRUE,"R_9mEY5yaQWFg9DjP","Yes, continue the survey",22,"Every day","Multiple times per day","Sports,(Ukrainian) War,Climate change,Space-travel,Terrorism,Natural disasters",0,NA,0,NA,NA,43,19,NA,NA,NA,NA,NA,NA,24,NA,22,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"When covid started a little"
"IP Address",100,491,TRUE,"R_2EhQFV3nhx5vR9A","Yes, continue the survey",30,"2-3 times per week","2-3 times per week","Crimes,Israeli-Palestinian conflict,Immigration,Sports,(Ukrainian) War,Economy",32,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,60,NA,NA,NA,NA,93,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,572,TRUE,"R_2Sprv97kBslpLey","Yes, continue the survey",30,"Never","Once per week","EU politics,Crimes,Immigration,Sports,Institutional abuse,Protests,Natural disasters",49,55,36,44,9,38,53,0,18,0,66,2,59,45,59,36,53,43,38,32,51,52,26,27,55,26,NA,0,32,NA,NA,NA,NA,NA,NA,"(School) shootings, billionaires"
"IP Address",100,299,TRUE,"R_3KCHMewDEVJ8IFl","Yes, continue the survey",19,"Every day","2-3 times per week","EU politics,Crimes,Immigration,Sports,Climate change,COVID-19,Protests,Terrorism,Natural disasters",10,27,0,15,0,35,60,0,100,11,19,0,28,100,34,34,35,37,49,0,0,0,49,0,0,0,47,0,0,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,77,TRUE,"R_VLpm0syyCaOh1DP","Yes, continue the survey",23,"Every day","Once per week","EU politics,Crimes,Climate change,Show business & Arts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
"IP Address",100,87099,TRUE,"R_1PbjncZrINrV3Ly","Yes, continue the survey",28,"Multiple times per day","Once per week",NA,NA,21,NA,84,NA,32,30,NA,6,0,65,NA,NA,22,73,90,53,58,26,NA,0,NA,NA,8,21,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,173,TRUE,"R_3jdr3TV3O3R7qOB","Yes, continue the survey",21,"Never","Never","Sports,Show business & Arts",100,100,NA,NA,NA,100,60,NA,100,NA,54,NA,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,NA,NA,NA,NA,NA,NA
"IP Address",100,196,TRUE,"R_Z2dXg3FqjJFtxpD","Yes, continue the survey",23,"Never","2-3 times per week","Crimes,Sports,Show business & Arts,Institutional abuse,Protests,US politics,Natural disasters",75,46,100,51,NA,100,78,NA,70,NA,53,NA,69,100,83,69,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,110,TRUE,"R_4IbfENcHU86XGwh","Yes, continue the survey",19,"Every day","Never","Crimes,Natural disasters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"IP Address",100,197,TRUE,"R_2y7OLBjYs0FgLYd","Yes, continue the survey",21,"Multiple times per day","Once per week","EU politics,Crimes,Immigration,Sports,Climate change,Protests,Terrorism,Elections",43,64,51,48,0,40,85,9,20,1,66,21,51,60,36,67,89,45,50,2,54,51,50,11,33,30,10,2,4,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,184,TRUE,"R_WdspjkjGwM0w9m9","Yes, continue the survey",27,"Never","2-3 times per week","EU politics,(Ukrainian) War,Climate change,Show business & Arts,Institutional abuse,US politics,Natural disasters,Economy",29,100,29,NA,NA,65,100,0,100,0,100,NA,100,85,86,39,57,100,100,37,100,100,100,47,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"IP Address",100,190,TRUE,"R_Z3kOmDf2EfQOv97","Yes, continue the survey",21,"Never","Every day","EU politics,Economy",77,85,83,71,NA,81,49,NA,60,39,NA,NA,15,70,42,84,NA,58,21,6,49,66,NA,60,58,55,NA,71,70,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,201,TRUE,"R_1MQc5USP5s33N8r","Yes, continue the survey",29,"Never","Multiple times per day","EU politics,Crimes,Immigration,Sports,(Ukrainian) War,Show business & Arts,Britsh politics / Brexit",7,60,26,25,NA,80,56,NA,50,49,NA,NA,19,56,NA,50,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IP Address",100,187,TRUE,"R_XtwZpZgICWaG9QR","Yes, continue the survey",23,"Never","Once per week","Crimes,Sports,(Ukrainian) War,Show business & Arts,Protests,Terrorism,Natural disasters,Economy",34,49,24,28,0,38,47,NA,59,9,49,NA,46,51,36,47,0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No"
